text,category,severity
Water storage reservoir wall cracked and threatening to submerge adjacent village West Singhbhum.,Water Management,CRITICAL
Construction and demolition debris dumped openly on dry riverbed near Market Square.,Environment,MEDIUM
Sticker bills and posters defacing newly painted public sanitation facility in Khunti.,Sanitation,LOW
"Unmarked and unpainted speed breaker on Station Road without reflectors, vehicles violently jumping.",Urban Infrastructure,MEDIUM
Herd of wild boars and elephants destroying standing sugarcane crops nightly in farm belt Simdega.,Agriculture,HIGH
School playground in Ranchi taken over by unauthorized parked commercial vehicles.,Education,MEDIUM
Dilapidated four-story abandoned factory on verge of immediate structural collapse near crowded marketplace in Godda.,Public Safety,CRITICAL
"Underground sewage trunk line choked, raw sewage water backflowing into hundreds of houses in Deoghar.",Sanitation,CRITICAL
Overhead directional signage metal frame detached and swinging dangerously over traffic on Main Road.,Urban Infrastructure,HIGH
Agricultural extension officer not available on scheduled field visit day in Gumla.,Agriculture,LOW
Farmer credit card passbook printer out of paper at rural bank branch Bokaro.,Agriculture,LOW
Street vegetable market causing minor pedestrian bottleneck on evening sidewalks in Lohardaga.,Public Safety,LOW
Water supply timing in Garhwa changed abruptly to 2 AM without prior public notice.,Water Management,MEDIUM
Request for tree plantation drive along newly expanded 4-lane avenue in Saraikela.,Environment,LOW
Emergency Police dial 112 / 100 helpline calls ringing unanswered during violent burglary distress in Godda.,Public Safety,CRITICAL
Electric wires tangled in tree branches causing sparks in wind near Circular Road in Lohardaga.,Energy,MEDIUM
Unscheduled power cuts lasting 12 to 16 hours daily in Sahebganj during peak summer heatwave.,Energy,HIGH
"School bell system broken, manual gong being used in school Jamtara.",Education,LOW
"Electricity bill received after the due date, incurring unjustified penalty charge in Giridih.",Energy,LOW
"Underground electrical cable burnt, whole commercial market in total darkness for 14 days in Koderma.",Energy,HIGH
Minor paint flaking off classroom exterior walls in school at Chatra.,Education,LOW
State transport bus operating with completely worn bald tires and failing hydraulic brakes on hill route near Pakur.,Transportation,CRITICAL
Fallen autumn leaves accumulated in street gutters in sector 13 of Deoghar.,Sanitation,LOW
"Massive landslide and retaining wall collapse blocked state highway College Road, trapping vehicles under debris.",Urban Infrastructure,CRITICAL
Chalkboard in class 5 at primary school Khunti has cracks and needs repainting.,Education,LOW
Pesticide dumping caused sudden death of thousands of fish in community lake at Chatra.,Environment,HIGH
Open electrical feeder pillar box with live bare busbars standing unlocked outside children's park in Sahebganj.,Energy,CRITICAL
Residential smart meter installation application pending for 3 months in Pakur.,Energy,LOW
Deep construction trench left completely unbarricaded with zero warning hazard lamps on road in Deoghar.,Public Safety,MEDIUM
"Footpath paving blocks broken and dislodged, forcing school students to walk in traffic in Khunti.",Urban Infrastructure,MEDIUM
Underground pipe leak causing clean drinking water to pool on the street near Airport Road.,Water Management,MEDIUM
Labor room in maternal care clinic Dhanbad has no running water or sterile equipment.,Healthcare,HIGH
Door-to-door garbage collection vehicle skipping collection in sector 4 of Ranchi.,Sanitation,MEDIUM
Commercial shopping complex fire exits permanently chained shut and fire extinguisher cylinders expired in Deoghar.,Public Safety,HIGH
"Main municipal water pipeline exploded on GT Road, flooding residential homes and cutting supply to 100 families.",Water Management,CRITICAL
Crater-sized deep pothole on fast lane of Station Road caused three consecutive car rollover accidents last night.,Urban Infrastructure,CRITICAL
Minor cracks appearing on walking promenade footpath in public park at Ramgarh.,Urban Infrastructure,LOW
"Cold storage plant cooling gas leaked, ruining entire stored potato and tomato harvest in West Singhbhum.",Agriculture,CRITICAL
"Commercial electricity meter running abnormally fast, inflated bill of Rs 50,000 sent to small shop in Godda.",Energy,MEDIUM
Ticket vending machine at bus terminal out of order in Godda.,Transportation,LOW
Fallen autumn leaves accumulated in street gutters in sector 30 of Sahebganj.,Sanitation,LOW
"Sinkhole formed suddenly in the middle of intersection near Khunti, engulfing front of a delivery truck.",Urban Infrastructure,CRITICAL
"Canal embankment breached by heavy flow, submerging 200 acres of paddy fields and farmers' huts in Chaibasa.",Agriculture,CRITICAL
"Middle school in Koderma has no functional toilet for girl students, causing massive dropouts.",Education,HIGH
Potholes at bus terminal depot damaging public vehicle axles and stalling departures in Sahebganj.,Transportation,MEDIUM
"Open deep stone quarry pit filled with 40 feet of stagnant water without fencing, child drowned yesterday in Garhwa.",Public Safety,CRITICAL
Subsidized fertilizer (Urea and DAP) completely black-marketed and unavailable at government cooperative in Lohardaga.,Agriculture,HIGH
Drinking water supply poisoned due to pesticide tank leakage near local water pump house.,Water Management,CRITICAL
Mosquito breeding epidemic in West Singhbhum due to stagnant black sewage water in uncleaned open drains.,Sanitation,HIGH
Street vegetable market causing minor pedestrian bottleneck on evening sidewalks in Hazaribagh.,Public Safety,LOW
Old multi-story commercial market balcony collapsed onto busy pedestrian footpath in Bokaro.,Urban Infrastructure,CRITICAL
Open uncovered manhole on unlit road of Bypass Highway resulted in motorcycle rider falling in and suffering critical head injury.,Urban Infrastructure,CRITICAL
"Footpath paving blocks broken and dislodged, forcing school students to walk in traffic in Ranchi.",Urban Infrastructure,MEDIUM
Agricultural irrigation feeder canal dry for 5 weeks during critical sowing season in Jamshedpur.,Agriculture,HIGH
Potholes at bus terminal depot damaging public vehicle axles and stalling departures in West Singhbhum.,Transportation,MEDIUM
"Footpath paving blocks broken and dislodged, forcing school students to walk in traffic in West Singhbhum.",Urban Infrastructure,MEDIUM
"Canal outlet siphon silted up, tail-end farmers receiving zero irrigation flow in Hazaribagh.",Agriculture,MEDIUM
Pesticide dumping caused sudden death of thousands of fish in community lake at Khunti.,Environment,HIGH
Armed gang carrying out chain snatching and robberies on dark bypass stretch of Main Road after 8 PM.,Public Safety,CRITICAL
Street vegetable market causing minor pedestrian bottleneck on evening sidewalks in Pakur.,Public Safety,LOW
"Desks and benches broken, students forced to sit on damp concrete floor in school at Jamtara.",Education,MEDIUM
"Underground electrical cable burnt, whole commercial market in total darkness for 5 days in Sahebganj.",Energy,HIGH
Open uncovered manhole on unlit road of Ring Road resulted in motorcycle rider falling in and suffering critical head injury.,Urban Infrastructure,CRITICAL
Loud music played after 10 PM during local marriage celebrations in sector 7 of West Singhbhum.,Public Safety,LOW
"Ceiling plaster fell on elementary students during classes, three children injured in school at Ramgarh.",Education,CRITICAL
"Pedestrian subway has zero lighting, non-functional CCTV, and zero police patrols, making it dangerous after dark in Jamtara.",Public Safety,HIGH
"Main municipal water pipeline exploded on Market Square, flooding residential homes and cutting supply to 800 families.",Water Management,CRITICAL
"Commercial electricity meter running abnormally fast, inflated bill of Rs 50,000 sent to small shop in Garhwa.",Energy,MEDIUM
Continuous power blackout in civil hospital during emergency surgeries in Ramgarh.,Energy,CRITICAL
Farmer credit card passbook printer out of paper at rural bank branch Lohardaga.,Agriculture,LOW
Excessive noise pollution from industrial diesel generators running all night in declared silent zone of Dumka.,Environment,MEDIUM
"Extreme shortage of essential medicines, paracetamol, and ORS packets in primary health clinic Ranchi.",Healthcare,HIGH
Fake and counterfeit antibiotics distributed through government pharmacy outlet in Gumla.,Healthcare,CRITICAL
"Huge garbage dump on street corner in Jamtara not cleared for 21 weeks, decomposing and blocking traffic.",Sanitation,HIGH
Drainage silt cleared by cleaners left piled on pedestrian pavement and never carted away in Bokaro.,Sanitation,MEDIUM
Mosquito breeding epidemic in Koderma due to stagnant black sewage water in uncleaned open drains.,Sanitation,HIGH
"Drinking water contaminated with industrial chemical waste, dozens hospitalized with severe poisoning in Dhanbad.",Water Management,CRITICAL
Hospital blood bank has zero units of all blood groups during emergency accident influx in Chatra.,Healthcare,CRITICAL
Water supply timing in Chatra changed abruptly to 2 AM without prior public notice.,Water Management,MEDIUM
Streetlight junction box sparking loudly every evening during dusk in Simdega.,Energy,MEDIUM
Waiting area ceiling fans in health dispensary Jamtara making loud squeaking noise.,Healthcare,LOW
Request for placing separate green and blue waste segregation bins in park at Jamshedpur.,Sanitation,LOW
Unscheduled power cuts lasting 12 to 16 hours daily in Koderma during peak summer heatwave.,Energy,HIGH
Public drinking fountain near park in Saraikela has a slow leaky washer.,Water Management,LOW
Cholera and severe gastroenteritis outbreak reported due to sewage mixing in drinking water pipelines in Pakur.,Water Management,CRITICAL
Frequent sudden voltage spikes burning electronic LED appliances in colony Dumka.,Energy,MEDIUM
"Water supply in Simdega restricted to only 15 minutes once in 3 days, causing violent disputes at community taps.",Water Management,HIGH
"Hazardous industrial gas leak from factory causing nausea, fainting, and breathing distress in surrounding village Gumla.",Environment,CRITICAL
Public dustbins in market area Lohardaga broken and overflowing with plastic bags.,Sanitation,MEDIUM
High voltage 11KV electrical wire snapped and lying alive on wet school pathway in Dumka.,Energy,CRITICAL
"Water supply in Ramgarh restricted to only 15 minutes once in 3 days, causing violent disputes at community taps.",Water Management,HIGH
School computer lab equipment locked in boxes for 2 years without power connection in Simdega.,Education,MEDIUM
Labor room in maternal care clinic Deoghar has no running water or sterile equipment.,Healthcare,HIGH
Agricultural extension officer not available on scheduled field visit day in Jamtara.,Agriculture,LOW
Government high school in Bokaro has no math or science teacher for the entire academic year.,Education,HIGH
"Cold storage plant cooling gas leaked, ruining entire stored potato and tomato harvest in Dhanbad.",Agriculture,CRITICAL
"Canal embankment breached by heavy flow, submerging 200 acres of paddy fields and farmers' huts in Saraikela.",Agriculture,CRITICAL
"Soil testing laboratory report delayed by 4 months, missed sowing season in block Dhanbad.",Agriculture,MEDIUM
"Doctor at dispensary arriving 3 hours late regularly, causing senior citizens to wait in sun in Ramgarh.",Healthcare,MEDIUM
Requesting installation of an additional community water tap near the new bus stop in Dhanbad.,Water Management,LOW
Request for placing separate green and blue waste segregation bins in park at Garhwa.,Sanitation,LOW
"Main municipal water pipeline exploded on Market Square, flooding residential homes and cutting supply to 350 families.",Water Management,CRITICAL
Abandoned scrap car left parked on colony street corner for 1 year in Ramgarh.,Public Safety,LOW
"Drinking water tank in village school contaminated, dozens of children sick with food poisoning in Godda.",Education,CRITICAL
Community public toilet complex locked and overflowing with feces in ward 10 of Ramgarh.,Sanitation,HIGH
"Drinking water contaminated with industrial chemical waste, dozens hospitalized with severe poisoning in Lohardaga.",Water Management,CRITICAL
Public dustbins in market area Simdega broken and overflowing with plastic bags.,Sanitation,MEDIUM
Water filter unit at municipal dispensary in Chaibasa requires urgent membrane replacement.,Water Management,MEDIUM
"Canal embankment breached by heavy flow, submerging 200 acres of paddy fields and farmers' huts in Ramgarh.",Agriculture,CRITICAL
"Bridge approach road collapsed, leaving public transport buses stranded on ledge near Ramgarh.",Transportation,CRITICAL
"Huge garbage dump on street corner in West Singhbhum not cleared for 1 weeks, decomposing and blocking traffic.",Sanitation,HIGH
"Huge garbage dump on street corner in Koderma not cleared for 4 weeks, decomposing and blocking traffic.",Sanitation,HIGH
"Ceiling plaster fell on elementary students during classes, three children injured in school at Koderma.",Education,CRITICAL
Overgrown wild weeds and Congress grass causing seasonal pollen allergies in colony park Garhwa.,Environment,LOW
"Government ambulance dial 108 helpline not answering, pregnant patient died en route in Ranchi.",Healthcare,CRITICAL
Pavement curbs need repainting in reflective yellow paint along Circular Road.,Urban Infrastructure,LOW
"Street dustbin missing lid, stray dogs scattering waste in Chaibasa.",Sanitation,LOW
Extreme overcrowding in city buses with passengers hanging precariously from footboards and window grills in Sahebganj.,Transportation,HIGH
Water bill received has higher meter reading than actual consumption in Saraikela.,Water Management,LOW
Request for seating benches in outdoor waiting shed of health center Sahebganj.,Healthcare,LOW
"Cold storage plant cooling gas leaked, ruining entire stored potato and tomato harvest in Lohardaga.",Agriculture,CRITICAL
Ticket vending machine at bus terminal out of order in Hazaribagh.,Transportation,LOW
Overhead directional signage metal frame detached and swinging dangerously over traffic on Station Road.,Urban Infrastructure,HIGH
Door-to-door garbage collection vehicle skipping collection in sector 14 of Gumla.,Sanitation,MEDIUM
"Drinking water tank in village school contaminated, dozens of children sick with food poisoning in Godda.",Education,CRITICAL
Massive locust attack destroying standing wheat and mustard crops across 500 hectares in Deoghar.,Agriculture,CRITICAL
State transport bus operating with completely worn bald tires and failing hydraulic brakes on hill route near Jamtara.,Transportation,CRITICAL
Open electrical feeder pillar box with live bare busbars standing unlocked outside children's park in Dumka.,Energy,CRITICAL
"Complete groundwater depletion in Simdega, borewells pumping sand, emergency relief tankers urgently needed.",Water Management,CRITICAL
Community public toilet complex locked and overflowing with feces in ward 18 of Jamtara.,Sanitation,HIGH
"Pedestrian subway has zero lighting, non-functional CCTV, and zero police patrols, making it dangerous after dark in Giridih.",Public Safety,HIGH
Child immunization camp date postponed twice without notifying parents in Giridih.,Healthcare,MEDIUM
Surgeon and anesthesiologist absent during critical trauma patient admission at civil hospital Deoghar.,Healthcare,CRITICAL
Deep construction trench left completely unbarricaded with zero warning hazard lamps on road in Lohardaga.,Public Safety,MEDIUM
Chalkboard in class 5 at primary school Chaibasa has cracks and needs repainting.,Education,LOW
"Agricultural power transformer burned out, tube wells non-functional during peak irrigation in Ranchi.",Agriculture,HIGH
Leakage in water meter junction wasting thousands of liters daily outside house in Khunti.,Water Management,MEDIUM
Transformer overloaded and tripping every 20 minutes across 400 households in ward 1 of Giridih.,Energy,HIGH
"Solar street light battery backup discharged, light turning off by 10 PM in Palamu.",Energy,LOW
"Hailstorm and gale winds flattened standing crops across village Pakur, farmers facing total bankruptcy.",Agriculture,CRITICAL
"Water supply in Godda restricted to only 15 minutes once in 3 days, causing violent disputes at community taps.",Water Management,HIGH
"Electricity bill received after the due date, incurring unjustified penalty charge in Chatra.",Energy,LOW
Street name board in ward 21 of Hazaribagh is rusted and illegible.,Urban Infrastructure,LOW
Water smells strongly like foul drainage water and looks muddy black from municipal connection in Lohardaga.,Water Management,HIGH
Minor paint flaking off classroom exterior walls in school at Khunti.,Education,LOW
School computer lab equipment locked in boxes for 2 years without power connection in Simdega.,Education,MEDIUM
"Open deep stone quarry pit filled with 40 feet of stagnant water without fencing, child drowned yesterday in Gumla.",Public Safety,CRITICAL
Public drinking fountain near park in Simdega has a slow leaky washer.,Water Management,LOW
Arsenic and fluoride contamination in handpumps causing skeletal deformities in rural Ramgarh.,Water Management,CRITICAL
Traffic signals at four-way junction on GT Road blinking yellow continuously causing vehicle gridlocks.,Urban Infrastructure,MEDIUM
"Contractual teachers going on indefinite strike, leaving school completely shut for 21 days in Godda.",Education,HIGH
Lineman demanding bribe to replace blown transformer fuse in village Pakur.,Energy,HIGH
Septic tank leaked directly into municipal drinking water pipeline trench in Lohardaga.,Sanitation,CRITICAL
Residential smart meter installation application pending for 3 months in Ranchi.,Energy,LOW
Municipal sanitation sweepers have not visited colony Saraikela for past 7 days.,Sanitation,MEDIUM
Lineman demanding bribe to replace blown transformer fuse in village Dumka.,Energy,HIGH
"Acute dengue and viral encephalitis outbreak claiming lives of children in Hazaribagh, immediate medical team required.",Healthcare,CRITICAL
X-ray and Sonography machines at Community Health Centre Saraikela out of order for past 5 weeks.,Healthcare,HIGH
"Stone crushing factories operating without water sprinklers, entire residential area enveloped in toxic silica dust in Saraikela.",Environment,HIGH
Lineman demanding bribe to replace blown transformer fuse in village Khunti.,Energy,HIGH
Old transport truck emitting black smoke exhaust while idling at traffic stop in Dumka.,Environment,LOW
Deep construction trench left completely unbarricaded with zero warning hazard lamps on road in Jamtara.,Public Safety,MEDIUM
"Unmarked and unpainted speed breaker on Main Road without reflectors, vehicles violently jumping.",Urban Infrastructure,MEDIUM
Dilapidated school building declared unsafe still hosting classes of 200 primary pupils in Godda.,Education,CRITICAL
"Submersible pump at community borewell completely burned out, leaving entire village Hazaribagh without drinking water.",Water Management,HIGH
"Drinking water contaminated with industrial chemical waste, dozens hospitalized with severe poisoning in Gumla.",Water Management,CRITICAL
Water bill received has higher meter reading than actual consumption in Hazaribagh.,Water Management,LOW
Market vegetable vendors dumping rotten produce directly into open stormwater drains in Garhwa.,Sanitation,MEDIUM
Street signboards fallen down and lying in ditch near entrance of Ranchi.,Urban Infrastructure,MEDIUM
Commercial slaughterhouse dumping animal entrails and blood directly into open municipal drain in Ramgarh.,Sanitation,HIGH
Dense poisonous smoke from open garbage burning at municipal dumping ground suffocating Simdega.,Environment,HIGH
Request for tree plantation drive along newly expanded 4-lane avenue in Koderma.,Environment,LOW
Continuous power blackout in civil hospital during emergency surgeries in Dumka.,Energy,CRITICAL
"Drinking water contaminated with industrial chemical waste, dozens hospitalized with severe poisoning in Ramgarh.",Water Management,CRITICAL
"Brick kilns operating illegal coal combustion chimneys, air quality index crossing severe 450 in Garhwa.",Environment,HIGH
Request for seating benches in outdoor waiting shed of health center Hazaribagh.,Healthcare,LOW
"Bus stop shelter collapsed in heavy storm, commuters forced to stand on highway in rain in Hazaribagh.",Transportation,MEDIUM
"Bridge approach road collapsed, leaving public transport buses stranded on ledge near Dhanbad.",Transportation,CRITICAL
Stretcher and wheelchair wheels broken at entrance of government clinic in Sahebganj.,Healthcare,MEDIUM
School computer lab equipment locked in boxes for 2 years without power connection in Saraikela.,Education,MEDIUM
Request for placing separate green and blue waste segregation bins in park at Dhanbad.,Sanitation,LOW
Notice board showing daily mandi crop prices missing at grain market Khunti.,Agriculture,LOW
Continuous power blackout in civil hospital during emergency surgeries in Bokaro.,Energy,CRITICAL
School bus driver driving recklessly with overcrowded children on Station Road.,Education,MEDIUM
Primary Health Centre in Dhanbad has no medical doctor present for the past 10 days.,Healthcare,HIGH
"Illegal sand mining mafia using heavy dredging excavators, destroying river ecosystem and groundwater table at Deoghar.",Environment,CRITICAL
Notice board showing daily mandi crop prices missing at grain market Giridih.,Agriculture,LOW
"Doctor at dispensary arriving 3 hours late regularly, causing senior citizens to wait in sun in Sahebganj.",Healthcare,MEDIUM
"No electricity connection in rural school Chatra, children sitting in dark classrooms in 43°C summer.",Education,HIGH
Door-to-door garbage collection vehicle skipping collection in sector 7 of Saraikela.,Sanitation,MEDIUM
Frequent sudden voltage spikes burning electronic LED appliances in colony Deoghar.,Energy,MEDIUM
Door-to-door garbage collection vehicle skipping collection in sector 28 of Khunti.,Sanitation,MEDIUM
Display board showing doctor consultation timings missing outside health clinic Ramgarh.,Healthcare,LOW
"Hailstorm and gale winds flattened standing crops across village Bokaro, farmers facing total bankruptcy.",Agriculture,CRITICAL
Abandoned scrap car left parked on colony street corner for 1 year in Khunti.,Public Safety,LOW
Street name board in ward 25 of Gumla is rusted and illegible.,Urban Infrastructure,LOW
Water supply timing in Chatra changed abruptly to 2 AM without prior public notice.,Water Management,MEDIUM
Frequent drunken brawls and stone pelting outside illegal country liquor shop near school in Ranchi.,Public Safety,HIGH
Market vegetable vendors dumping rotten produce directly into open stormwater drains in Sahebganj.,Sanitation,MEDIUM
Excessive noise pollution from industrial diesel generators running all night in declared silent zone of Dumka.,Environment,MEDIUM
Agricultural extension officer not available on scheduled field visit day in Chatra.,Agriculture,LOW
"All streetlights on main ring road Hospital Road non-functional for past 10 days, high accident danger.",Urban Infrastructure,HIGH
"Canal embankment breached by heavy flow, submerging 200 acres of paddy fields and farmers' huts in Chatra.",Agriculture,CRITICAL
Overgrown wild weeds and Congress grass causing seasonal pollen allergies in colony park Godda.,Environment,LOW
Overloaded passenger boat capsized risk due to cracked hull at river crossing in Garhwa.,Transportation,CRITICAL
Chalkboard in class 5 at primary school West Singhbhum has cracks and needs repainting.,Education,LOW
Fallen autumn leaves accumulated in street gutters in sector 16 of Khunti.,Sanitation,LOW
Water storage reservoir wall cracked and threatening to submerge adjacent village Palamu.,Water Management,CRITICAL
Request for placing separate green and blue waste segregation bins in park at Gumla.,Sanitation,LOW
"Bridge approach road collapsed, leaving public transport buses stranded on ledge near Jamtara.",Transportation,CRITICAL
Pedestrian subway flooded with 5 feet of stormwater and live electrical wires submerged in water.,Urban Infrastructure,CRITICAL
Door-to-door garbage collection vehicle skipping collection in sector 9 of Dhanbad.,Sanitation,MEDIUM
Staff at government health sub-centre in Ramgarh demanding illicit money for issuing vaccination certificates.,Healthcare,MEDIUM
Dead animal carcass found decaying inside the community drinking water overhead tank in Gumla.,Water Management,CRITICAL
Request for tree plantation drive along newly expanded 4-lane avenue in Jamtara.,Environment,LOW
Water smells strongly like foul drainage water and looks muddy black from municipal connection in Dhanbad.,Water Management,HIGH
Staff at government health sub-centre in Garhwa demanding illicit money for issuing vaccination certificates.,Healthcare,MEDIUM
Chalkboard in class 5 at primary school Chaibasa has cracks and needs repainting.,Education,LOW
"No electricity connection in rural school Ramgarh, children sitting in dark classrooms in 43°C summer.",Education,HIGH
Pavement curbs need repainting in reflective yellow paint along Market Square.,Urban Infrastructure,LOW
"Submersible pump at community borewell completely burned out, leaving entire village Chatra without drinking water.",Water Management,HIGH
Divider break on fast expressway in Garhwa causing tractors and two-wheelers to drive on wrong side.,Urban Infrastructure,HIGH
Scheduled municipal water tanker delayed by more than 24 hours in ward 13 of Deoghar.,Water Management,MEDIUM
"Bus stop shelter collapsed in heavy storm, commuters forced to stand on highway in rain in Hazaribagh.",Transportation,MEDIUM
Pesticide dumping caused sudden death of thousands of fish in community lake at Bokaro.,Environment,HIGH
"Classroom roof leaking severely during monsoon rain, destroying desks and textbooks in Simdega.",Education,HIGH
Request for additional bus stop shelter along newly developed residential sector in Ramgarh.,Transportation,LOW
"Classroom roof leaking severely during monsoon rain, destroying desks and textbooks in Chatra.",Education,HIGH
"Middle school in Ramgarh has no functional toilet for girl students, causing massive dropouts.",Education,HIGH
Footbridge over railway tracks in Gumla has severely rusted corroded pillars shaking in wind.,Urban Infrastructure,HIGH
Pavement curbs need repainting in reflective yellow paint along Station Road.,Urban Infrastructure,LOW
Slum settlement in Palamu experiencing severe hepatitis outbreak due to open sewage pools.,Sanitation,CRITICAL
Certified seeds provided at block development office had less than 20% germination rate in Jamshedpur.,Agriculture,MEDIUM
Footbridge over railway tracks in Gumla has severely rusted corroded pillars shaking in wind.,Urban Infrastructure,HIGH
"Highway flyover expansion joint widened by 6 inches, vibrating violently under vehicular movement in Saraikela.",Urban Infrastructure,CRITICAL
Water pipeline breach drowned three cows and flooded electrical sub-station near Circular Road.,Water Management,CRITICAL
Illegal booster pumps installed by several residents in Sahebganj causing zero water pressure in neighboring homes.,Water Management,MEDIUM
Plastic waste and non-biodegradable thermocol clogging forest stream in tourist spot Giridih.,Environment,MEDIUM
Transformer overloaded and tripping every 20 minutes across 400 households in ward 10 of Hazaribagh.,Energy,HIGH
"Night bus transport service discontinued abruptly, leaving female hospital workers unsafe in Giridih.",Transportation,HIGH
X-ray and Sonography machines at Community Health Centre Garhwa out of order for past 21 weeks.,Healthcare,HIGH
Dilapidated four-story abandoned factory on verge of immediate structural collapse near crowded marketplace in Gumla.,Public Safety,CRITICAL
Emergency Police dial 112 / 100 helpline calls ringing unanswered during violent burglary distress in Deoghar.,Public Safety,CRITICAL
"Unmanned railway level crossing with broken boom barrier, blind collision hazard on Hospital Road.",Transportation,CRITICAL
"Doctor at dispensary arriving 3 hours late regularly, causing senior citizens to wait in sun in Sahebganj.",Healthcare,MEDIUM
"Community water tap handle rusted and broken, water dripping continuously in Dhanbad.",Water Management,MEDIUM
Drainage silt cleared by cleaners left piled on pedestrian pavement and never carted away in Chatra.,Sanitation,MEDIUM
"Massive landslide and retaining wall collapse blocked state highway College Road, trapping vehicles under debris.",Urban Infrastructure,CRITICAL
Auto rickshaw stand encroaching on pedestrian crossing near market Hazaribagh.,Transportation,LOW
"Major highway bridge over river has developed structural cracks, concrete chunks falling into river near Pakur.",Urban Infrastructure,CRITICAL
Scheduled municipal water tanker delayed by more than 24 hours in ward 14 of Palamu.,Water Management,MEDIUM
"No tap water supply in Chatra for past 4 days, residents forced to purchase private tankers at huge rates.",Water Management,HIGH
Fake and counterfeit antibiotics distributed through government pharmacy outlet in Dumka.,Healthcare,CRITICAL
Plastic waste and non-biodegradable thermocol clogging forest stream in tourist spot Dumka.,Environment,MEDIUM
Illegal booster pumps installed by several residents in Giridih causing zero water pressure in neighboring homes.,Water Management,MEDIUM
ICU backup oxygen cylinder supply failed during power cut in sub-divisional hospital Koderma.,Healthcare,CRITICAL
Unscheduled power cuts lasting 12 to 16 hours daily in Pakur during peak summer heatwave.,Energy,HIGH
Community public toilet complex locked and overflowing with feces in ward 24 of Bokaro.,Sanitation,HIGH
"Stone crushing factories operating without water sprinklers, entire residential area enveloped in toxic silica dust in Sahebganj.",Environment,HIGH
Water meter glass cloudy and hard to read at property in Simdega.,Water Management,LOW
"Contractual teachers going on indefinite strike, leaving school completely shut for 10 days in Giridih.",Education,HIGH
Old transport truck emitting black smoke exhaust while idling at traffic stop in Dumka.,Environment,LOW
Street signboards fallen down and lying in ditch near entrance of Bokaro.,Urban Infrastructure,MEDIUM
"Underground sewage trunk line choked, raw sewage water backflowing into hundreds of houses in Lohardaga.",Sanitation,CRITICAL
ICU backup oxygen cylinder supply failed during power cut in sub-divisional hospital Saraikela.,Healthcare,CRITICAL
Farmer credit card passbook printer out of paper at rural bank branch Chaibasa.,Agriculture,LOW
"Dangerous potholes covering entire 5 km stretch of College Road, making emergency ambulance transit impossible.",Urban Infrastructure,HIGH
"Major highway bridge over river has developed structural cracks, concrete chunks falling into river near Palamu.",Urban Infrastructure,CRITICAL
"Contractual teachers going on indefinite strike, leaving school completely shut for 5 days in Giridih.",Education,HIGH
Agricultural extension officer not available on scheduled field visit day in Simdega.,Agriculture,LOW
Door-to-door garbage collection vehicle skipping collection in sector 2 of Garhwa.,Sanitation,MEDIUM
Water pipeline breach drowned three cows and flooded electrical sub-station near GT Road.,Water Management,CRITICAL
"Bridge approach road collapsed, leaving public transport buses stranded on ledge near Chaibasa.",Transportation,CRITICAL
Fake and counterfeit antibiotics distributed through government pharmacy outlet in Jamtara.,Healthcare,CRITICAL
Residential smart meter installation application pending for 3 months in Jamshedpur.,Energy,LOW
Water bill received has higher meter reading than actual consumption in Palamu.,Water Management,LOW
Unauthorized commercial advertising banners blocking driver visibility at road turning in Koderma.,Public Safety,LOW
Ticket vending machine at bus terminal out of order in Ramgarh.,Transportation,LOW
"Dialysis unit machines broken down, chronic kidney patients turned away without treatment in Pakur.",Healthcare,HIGH
Water meter glass cloudy and hard to read at property in Sahebganj.,Water Management,LOW
Drainage silt cleared by cleaners left piled on pedestrian pavement and never carted away in Garhwa.,Sanitation,MEDIUM
Deforestation and unmonitored hill cutting leading to soil erosion onto roads during monsoons in Koderma.,Environment,MEDIUM
Request for shifting electricity pole standing slightly inward on private driveway in Koderma.,Energy,LOW
Loud music played after 10 PM during local marriage celebrations in sector 23 of Chaibasa.,Public Safety,LOW
"Doctor at dispensary arriving 3 hours late regularly, causing senior citizens to wait in sun in Sahebganj.",Healthcare,MEDIUM
"School bell system broken, manual gong being used in school Godda.",Education,LOW
"Brick kilns operating illegal coal combustion chimneys, air quality index crossing severe 450 in Chatra.",Environment,HIGH
Fake and counterfeit antibiotics distributed through government pharmacy outlet in Jamshedpur.,Healthcare,CRITICAL
"Main storm drain culvert collapsed under truck weight, half the road completely severed in Jamshedpur.",Urban Infrastructure,HIGH
"Hazardous industrial gas leak from factory causing nausea, fainting, and breathing distress in surrounding village Chatra.",Environment,CRITICAL
"Hazardous industrial gas leak from factory causing nausea, fainting, and breathing distress in surrounding village Palamu.",Environment,CRITICAL
"Bus stop shelter collapsed in heavy storm, commuters forced to stand on highway in rain in Deoghar.",Transportation,MEDIUM
X-ray and Sonography machines at Community Health Centre Ranchi out of order for past 21 weeks.,Healthcare,HIGH
Pesticide dumping caused sudden death of thousands of fish in community lake at Ramgarh.,Environment,HIGH
Underground pipe leak causing clean drinking water to pool on the street near GT Road.,Water Management,MEDIUM
Frequent drunken brawls and stone pelting outside illegal country liquor shop near school in Sahebganj.,Public Safety,HIGH
Public park green lawn dried up due to lack of municipal gardening staff in Koderma.,Environment,LOW
State transport buses regularly skipping designated village bus stops in Koderma.,Transportation,MEDIUM
Commercial slaughterhouse dumping animal entrails and blood directly into open municipal drain in Saraikela.,Sanitation,HIGH
